,questions,responses
0,hi there,hello
1,is anyone there?,happy to have you here
2,hey,good to see you again
3,hola,"hi there, how can i help?"
4,what is your name?,"hi, i'm  bot"
5,what are you?,i'm bot 
6,who are you?,call me bot
7,bye,have a lovelyday!
8,see you later,have a nice day
9,goodbye,enjoy!
10,"nice chatting to you, bye",have fun
11,thanks,happy to help!
12,thank you,any time!
13,that's helpful,my pleasure
14,"awesome, thanks",do enjoy the game
15,thanks for helping me,have fun 
16,how can you help me?,i can help you understand your query
17,what can you do?,i help you get answers
18,what help you provide?,you can ask me anything.
19,how can you be helpful?,i can tell you everything you need
20,can we live on moon?,"though the moon has no liquid water, in 2018 nasa confirmed it does exist on the surface in ice form. ... settlers would use this water for drinking, and extract the hydrogen and oxygen for rocket fuel. and they would also save some for another key element of survival â€“ growing food."
21,why did we stop going to the moon?,"in 1970 future apollo missions were cancelled. apollo 17 became the last manned mission to the moon, for an indefinite amount of time. the main reason for this was money. the cost of getting to the moon was, ironically, astronomical."
22,has india been to mars?,"the mars orbiter mission (mom), also called mangalyaan  is a space probe orbiting mars since 24 september 2014. ... it made india the first asian nation to reach martian orbit and the first nation in the world to do so on its maiden attempt."
23,which country reached mars first?,"1, 1962: mars 1 (ussr) launched for an intended mars flyby. the spacecraft made it to earth orbit and beyond. but almost five months later, on march 21, 1963, the spacecraft was 65.9 million miles (106 million kilometers) away from earth when its radio failed and communication with the craft permanently ceased."
24,which was the first country on moon?,"the soviet union. as part of human exploration of the moon, numerous space missions have been undertaken to study earth's natural satellite. of the moon landings, luna 2 of the soviet union was the first spacecraft to reach its surface successfully, intentionally impacting the moon on 13 september 1959."
25,what did isro find on moon?,"on 30th july 2020, terrain mapping camera â€“ 2 (tmc-2) onboard isro's chandrayaan â€“ 2 captured the sarabhai crater on mare serenitatis in the north east quadrant of the moon."
26,who first discovered water on moon?,"the story of discovering water on the moon spans at least two decades, across space agencies. in 2009, scientists involved in isro's chandrayaan 1 and nasa's lcross missions finally discovered lunar water, and now the time to go back to the moon has come."
27,is there any life on moon?,so far none of the lunar missions have detected any signature of presence of life on the moon.
28,why do we see only one side of the moon?,"as the moon orbits, it always presents the same side towards the earth. this is so because earth's gravity has slowed the moon's rotation so that it just matches the time it takes to go around the earth. so the moon takes the same amount of time to revolve around the earth as it takes to rotate around its spin axis."
29,what is the total budget for realising chandrayaan-1 mission?,"the budgetary estimate for realising the proposed indian lunar mission chandrayaan-1 stands at rs. 386.00 crores (about $76 million). this includes rs. 53.00 crores (about $11 million) for payload development, rs. 83.00 crores (about $17 million) for spacecraft bus, rs. 100.00 crores ($20 million) towards establishment of deep space network, rs. 100.00 crores ($20 million) for pslv launch vehicle and rs. 50.00 crores ($10 million) for scientific data centre, external network support and programme management expenses."
30,what is antrix?,"antrix is the commercial wing of isro, a single window agency for marketing indian space capabilities both products and services to the world."
31,which was indiaâ€™s first remote sensing satellite?,"irs-1a. the indian remote sensing satellite-1a (irs-1a) was launched on march 17, 1988. irs-1a is the first of a series of semi-operational/ operational remote sensing satellites developed by indian space."
